GX,GY,GZ,AX,AY,AZ,timestamp,activity,session_id
3.174,3.113,-2.441,-0.986,-0.071,0.262,1746797445.308722,hammering,1
3.174,2.563,-3.235,-0.983,-0.066,0.264,1746797445.468096,hammering,1
3.479,3.601,-2.991,-0.996,-0.083,0.271,1746797445.60108,hammering,1
3.235,1.77,-2.502,-1.007,-0.072,0.262,1746797445.60108,hammering,1
3.296,1.404,-2.441,-0.986,-0.086,0.256,1746797445.692784,hammering,1
2.93,3.174,-2.747,-0.988,-0.06,0.263,1746797445.790255,hammering,1
3.479,2.319,-2.747,-1.009,-0.079,0.276,1746797445.89247,hammering,1
3.723,2.686,-2.014,-0.986,-0.072,0.266,1746797446.004339,hammering,1
3.235,4.395,-2.075,-0.999,-0.092,0.273,1746797446.088127,hammering,1
3.052,-2.869,-3.784,-0.996,-0.054,0.292,1746797446.231021,hammering,1
4.578,4.7,-2.441,-0.976,-0.082,0.257,1746797446.312321,hammering,1
0.671,1.892,-1.831,-1.018,-0.087,0.301,1746797446.425945,hammering,1
3.479,-0.61,-2.808,-0.971,-0.091,0.259,1746797446.617468,hammering,1
3.662,2.441,-2.136,-0.985,-0.074,0.285,1746797447.004821,hammering,1
2.93,2.319,-2.38,-0.97,-0.077,0.267,1746797447.004821,hammering,1
3.845,1.648,-2.808,-0.987,-0.081,0.298,1746797447.130015,hammering,1
5.127,5.249,-3.052,-0.974,-0.087,0.266,1746797447.226738,hammering,1
9.583,3.113,0.732,-0.991,-0.078,0.283,1746797447.275742,hammering,1
5.188,7.263,-1.709,-0.941,-0.072,0.275,1746797447.422826,hammering,1
-0.671,1.953,-7.263,-0.961,-0.098,0.3,1746797447.539517,hammering,1
2.197,6.958,0.061,-1.0,-0.089,0.302,1746797447.643106,hammering,1
5.127,0.305,14.526,-1.003,-0.055,0.262,1746797447.709614,hammering,1
3.113,-10.132,-5.737,-0.908,-0.004,0.35,1746797447.822036,hammering,1
-1.099,20.752,-38.452,-0.839,-0.103,0.287,1746797448.051565,hammering,1
14.038,-10.01,18.982,-0.907,-0.073,0.295,1746797448.051565,hammering,1
-3.906,0.0,21.851,-0.788,-0.059,0.275,1746797448.156645,hammering,1
-4.822,11.108,-41.87,-0.789,0.007,0.391,1746797448.259091,hammering,1
21.179,-10.193,21.301,-0.948,-0.06,0.54,1746797448.35139,hammering,1
8.24,-34.546,20.63,-0.82,-0.077,0.356,1746797448.462304,hammering,1
0.977,-0.549,-32.532,-0.61,0.042,0.558,1746797448.58088,hammering,1
13.428,-23.987,18.494,-0.98,-0.112,0.779,1746797448.657356,hammering,1
11.841,-7.69,17.639,-0.78,-0.042,0.36,1746797448.755943,hammering,1
0.427,17.151,-45.898,-0.77,0.042,0.326,1746797448.902536,hammering,1
7.996,39.124,20.508,-0.863,-0.093,0.371,1746797449.179301,hammering,1
2.075,-5.249,5.615,-0.92,-0.083,0.448,1746797449.179301,hammering,1
4.761,4.211,-30.457,-0.828,-0.062,0.42,1746797449.286668,hammering,1
22.522,41.748,15.686,-0.854,-0.115,0.496,1746797449.3652,hammering,1
5.371,-5.859,4.761,-0.835,0.054,0.318,1746797449.481638,hammering,1
-0.793,44.617,-58.411,-0.572,-0.006,0.022,1746797449.612466,hammering,1
15.564,24.231,20.081,-1.015,-0.122,0.201,1746797449.985194,hammering,1
3.906,0.671,0.061,-0.779,0.107,0.325,1746797449.985194,hammering,1
-6.592,-2.197,-36.194,-0.598,0.078,0.379,1746797450.103265,hammering,1
19.104,19.775,20.142,-1.334,-0.181,0.523,1746797450.295022,hammering,1
5.188,-23.56,20.63,-0.808,0.081,0.32,1746797450.295022,hammering,1
-0.549,20.264,-68.97,-0.617,-0.062,0.443,1746797450.397861,hammering,1
17.883,22.522,24.17,-0.726,-0.194,0.257,1746797450.816836,hammering,1
-5.371,-0.488,-16.846,-0.733,0.083,0.397,1746797450.816836,hammering,1
